,geo_field,total_population,total_male,fraction_male
90,ZCTA5 11960,490.0,224.0,0.45714285714285713
91,ZCTA5 11961,12850.0,6075.0,0.4727626459143969
92,ZCTA5 11962,491.0,295.0,0.6008146639511202
93,ZCTA5 11963,6710.0,3311.0,0.4934426229508197
94,ZCTA5 11964,2263.0,1045.0,0.4617764030048608
95,ZCTA5 11965,581.0,287.0,0.4939759036144578
96,ZCTA5 11967,26107.0,12715.0,0.48703412877772245
97,ZCTA5 11968,10702.0,5071.0,0.47383666604373015
98,ZCTA5 11970,111.0,30.0,0.2702702702702703
99,ZCTA5 11971,6327.0,3377.0,0.5337442705863759
100,ZCTA5 11972,1355.0,742.0,0.5476014760147602
101,ZCTA5 11973,41.0,25.0,0.6097560975609756
102,ZCTA5 11975,308.0,156.0,0.5064935064935064
103,ZCTA5 11976,2344.0,1076.0,0.4590443686006826
104,ZCTA5 11977,2148.0,1026.0,0.4776536312849162
105,ZCTA5 11978,3122.0,1495.0,0.4788597053171044
106,ZCTA5 11980,5620.0,3205.0,0.5702846975088968
